bairro;quartos;aluguel;area_m2
Centro;1;R$ 1.200,00;48,0
Jardins;2;R$ 1.250,00;48,8
Vila Nova;3;R$ 1.300,00;49,7
Beira-Rio;1;R$ 1.350,00;50,5
Centro;2;;45,0
Centro;2;R$ 1.380,00;51,0
Jardins;3;R$ 1.400,00;51,3
Vila Nova;1;R$ 1.420,00;51,7
Beira-Rio;2;R$ 1.450,00;52,2
Centro;3;R$ 1.480,00;52,7
Jardins;1;R$ 1.500,00;53,0
Jardins;3;N/A;88,5
Vila Nova;2;R$ 1.500,00;53,0
Beira-Rio;3;R$ 1.520,00;53,3
Centro;1;R$ 1.550,00;53,8
Jardins;2;R$ 1.600,00;54,7
Vila Nova;3;R$ 1.620,00;55,0
Beira-Rio;1;R$ 1.650,00;55,5
Centro;2;R$ 1.680,00;56,0
Vila Nova;1;consultar;30,0
Jardins;3;R$ 1.700,00;56,3
Vila Nova;1;R$ 1.750,00;57,2
Beira-Rio;2;R$ 1.800,00;58,0
Centro;3;R$ 1.850,00;58,8
Jardins;1;R$ 1.900,00;59,7
Vila Nova;2;R$ 1.950,00;60,5
Beira-Rio;3;R$ 2.000,00;61,3
Beira-Rio;2;-999;52,0
Centro;1;R$ 2.050,00;62,2
Jardins;2;R$ 2.100,00;63,0
Vila Nova;3;R$ 2.200,00;64,7
Beira-Rio;1;R$ 2.300,00;66,3
Centro;2;R$ 2.400,00;68,0
Jardins;3;R$ 2.500,00;69,7
Vila Nova;1;R$ 2.600,00;71,3
Beira-Rio;2;R$ 2.800,00;74,7
Centro;3;R$ 3.000,00;78,0
Jardins;1;R$ 3.200,00;81,3
Vila Nova;2;R$ 3.500,00;86,3
Beira-Rio;3;R$ 4.000,00;94,7
Centro;1;R$ 4.500,00;103,0
Jardins;2;R$ 5.200,00;114,7
Vila Nova;3;R$ 7.800,00;158,0
Beira-Rio;1;R$ 12.500,00;236,3
