respondente,satisfacao
1,4
2,4
3,5
4,5
5,4
6,5
7,1
8,4
9,5
10,4
11,5
12,2
13,4
14,3
15,4
16,4
17,1
18,3
19,3
20,5
21,5
22,3
23,5
24,2
25,4
26,2
27,1
28,5
29,3
30,3
31,5
32,5
33,3
34,5
35,4
36,4
37,3
38,5
39,4
40,5
41,5
42,3
43,3
44,3
45,2
46,2
47,3
48,4
49,1
50,4
51,3
52,3
53,5
54,4
55,3
56,4
57,4
58,2
59,5
60,1
61,4
62,5
63,1
64,5
65,3
66,4
67,1
68,1
69,3
70,5
71,3
72,5
73,5
74,5
75,3
76,3
77,4
78,5
79,2
80,4
81,5
82,5
83,1
84,5
85,2
86,3
87,4
88,5
89,3
90,5
91,4
92,3
93,3
94,3
95,2
96,2
97,4
98,5
99,3
100,1
101,5
102,4
103,4
104,3
105,4
106,5
107,4
108,4
109,2
110,5
111,1
112,4
113,5
114,2
115,4
116,5
117,4
118,5
119,2
120,4
121,2
122,5
123,3
124,4
125,5
126,5
127,5
128,4
129,4
130,4
131,4
132,3
133,4
134,2
135,3
136,5
137,5
138,4
139,4
140,3
141,2
142,3
143,5
144,5
145,3
146,5
147,5
148,4
149,4
150,5
151,3
152,4
153,3
154,4
155,5
156,4
157,3
158,5
159,4
160,4
161,1
162,4
163,3
164,4
165,4
166,5
167,4
168,5
169,3
170,4
171,4
172,5
173,3
174,5
175,5
176,4
177,5
178,5
179,4
180,4
181,3
182,5
183,5
184,4
185,4
186,4
187,4
188,3
189,5
190,4
191,4
192,4
193,4
194,5
195,4
196,4
197,1
198,3
199,4
200,4
