texto,categoria
"Minha fatura veio com valor errado, cobraram dois meses juntos",FINANCEIRO
"Não recebi o boleto deste mês, podem reenviar por favor",FINANCEIRO
"Fui cobrado em duplicidade no cartão de crédito",FINANCEIRO
"Preciso da segunda via da nota fiscal de julho",FINANCEIRO
"O pagamento foi feito mas o sistema continua acusando pendência",FINANCEIRO
"Quero mudar a data de vencimento da minha mensalidade",FINANCEIRO
"Houve um reajuste que não foi comunicado, quero entender a cobrança",FINANCEIRO
"O desconto combinado no contrato não apareceu na fatura",FINANCEIRO
"Como faço para trocar a forma de pagamento para débito automático",FINANCEIRO
"Recebi uma cobrança de multa que não reconheço",FINANCEIRO
"Solicito estorno do valor pago em duplicidade na semana passada",FINANCEIRO
"A nota fiscal saiu com o CNPJ errado, preciso de correção",FINANCEIRO
"Meu boleto venceu e preciso de um novo com a data atualizada",FINANCEIRO
"Estão cobrando um serviço adicional que eu nunca contratei",FINANCEIRO
"Qual o valor total em aberto na minha conta hoje",FINANCEIRO
"O comprovante de pagamento não foi reconhecido pelo sistema",FINANCEIRO
"Preciso do relatório de pagamentos dos últimos doze meses",FINANCEIRO
"Fizeram a cobrança antes da data acordada em contrato",FINANCEIRO
"Quero parcelar o débito em atraso, é possível",FINANCEIRO
"O PIX foi feito mas não consta como recebido no portal",FINANCEIRO
"Não consigo fazer login, a senha não é aceita",TECNICO
"O sistema está fora do ar desde as oito da manhã",TECNICO
"A página trava quando tento salvar o formulário",TECNICO
"Erro 500 ao tentar acessar o relatório mensal",TECNICO
"O aplicativo fecha sozinho toda vez que abro a aba de pedidos",TECNICO
"A integração com nosso ERP parou de sincronizar ontem",TECNICO
"Não consigo emitir nota fiscal, dá erro de certificado",TECNICO
"O upload de arquivos falha sempre que passa de dez megabytes",TECNICO
"A busca não retorna nenhum resultado mesmo com dados existentes",TECNICO
"Estou recebendo timeout na API em todas as requisições",TECNICO
"O relatório sai com os gráficos em branco no Chrome",TECNICO
"Depois da atualização os filtros pararam de funcionar",TECNICO
"O sistema está muito lento, cada tela leva mais de um minuto",TECNICO
"Não recebo mais os e-mails de notificação da plataforma",TECNICO
"O token de acesso expira em minutos e me desconecta",TECNICO
"A impressão do pedido sai com os campos desalinhados",TECNICO
"Perdi o acesso de administrador depois da migração",TECNICO
"O webhook não está mais entregando os eventos no nosso endpoint",TECNICO
"A tela de cadastro não aceita CPF válido, diz que é inválido",TECNICO
"O backup automático falhou nas últimas três noites",TECNICO
"Gostaria de saber o preço do plano empresarial",COMERCIAL
"Quero contratar mais dez licenças para minha equipe",COMERCIAL
"Vocês têm desconto para pagamento anual antecipado",COMERCIAL
"Preciso de uma proposta comercial para a diretoria avaliar",COMERCIAL
"Qual a diferença entre o plano básico e o profissional",COMERCIAL
"Gostaria de agendar uma demonstração do produto",COMERCIAL
"Vocês atendem empresas do setor público, com licitação",COMERCIAL
"Quero fazer upgrade do meu plano ainda neste mês",COMERCIAL
"Existe período de teste gratuito antes de assinar",COMERCIAL
"Preciso de um orçamento para cem usuários simultâneos",COMERCIAL
"Vocês oferecem treinamento para a equipe na contratação",COMERCIAL
