id,altura_m,idade
1,1.727,41
2,1.814,56
3,1.622,56
4,1.736,18
5,1.791,53
6,1.674,32
7,1.763,52
8,1.831,53
9,1.614,27
10,1.736,32
11,1.62,51
12,1.607,42
13,1.714,22
14,1.608,28
15,1.725,37
16,1.62,19
17,1.747,56
18,1.667,42
19,1.682,43
20,1.555,54
21,1.555,41
22,1.78,24
23,1.805,34
24,1.74,45
25,1.747,44
26,1.575,50
27,1.769,52
28,1.635,55
29,1.674,39
30,1.75,19
31,1.863,60
32,1.539,28
33,1.699,52
34,1.657,54
35,1.612,31
36,1.67,58
37,1.768,36
38,1.635,25
39,1.856,48
40,1.777,23
41,1.704,27
42,1.743,19
43,1.685,25
44,1.844,20
45,1.62,42
46,1.642,55
47,1.645,35
48,1.855,50
49,1.722,18
50,1.74,22
51,1.792,30
52,1.778,44
53,1.705,20
54,1.777,39
55,1.646,42
56,1.894,42
57,1.632,59
58,1.742,56
59,1.705,50
60,1.688,35
61,1.611,33
62,1.77,37
63,1.666,37
64,1.742,53
65,1.65,55
66,1.832,38
67,1.823,58
68,1.733,26
69,1.818,47
70,1.759,40
71,1.69,35
72,1.657,49
73,1.746,19
74,1.724,41
75,1.719,55
76,1.803,56
77,1.69,38
78,1.785,41
79,1.753,42
80,1.671,24
81,1.722,54
82,1.703,26
83,1.7,35
84,1.769,33
85,1.667,59
86,1.82,24
87,1.773,39
88,1.759,32
89,1.583,28
90,1.776,23
91,1.664,54
92,1.813,46
93,1.703,20
94,1.851,51
95,1.783,54
96,1.703,29
97,1.765,59
98,1.668,23
99,1.744,26
100,1.655,44
101,1.685,35
102,1.849,47
103,1.676,44
104,1.784,54
105,1.578,27
106,1.811,30
107,1.9,57
108,1.725,50
109,1.552,32
110,1.794,20
111,1.716,60
112,1.577,51
113,1.811,32
114,1.699,22
115,1.845,25
116,1.565,33
117,1.876,50
118,1.765,30
119,1.848,54
120,1.623,21
