I'm from Brazil, but I live in Portugal now.	Sou do Brasil, mas moro em Portugal agora.<br><i>/aɪm frəm brəˈzɪl/</i>	ponte a1 apresentacao
She's a nurse and she works at a hospital.	Ela é enfermeira e trabalha num hospital.<br><i>/ʃiz ə nɜːrs/</i>	ponte a1 apresentacao
Nice to meet you. How are you doing?	Prazer em conhecer você. Como você está?<br><i>/naɪs tə ˈmiːt juː/</i>	ponte a1 apresentacao
I usually wake up at six thirty.	Eu normalmente acordo às seis e meia.<br><i>/ˈjuːʒuəli/</i>	ponte a1 rotina
He doesn't drink coffee in the evening.	Ele não toma café à noite.<br><i>/ˈdʌzənt/</i>	ponte a1 rotina
Could I have a glass of water, please?	Eu poderia tomar um copo de água, por favor?<br><i>/kʊd aɪ hæv/</i>	ponte a1 pedido
How much does it cost?	Quanto custa?<br><i>/haʊ mʌtʃ dəz ɪt kɒst/</i>	ponte a1 pedido
Where is the nearest bus stop?	Onde fica o ponto de ônibus mais próximo?<br><i>/ˈnɪərɪst/</i>	ponte a1 viagem
There are three people waiting outside.	Tem três pessoas esperando lá fora.<br><i>/ðeər ɑːr/</i>	ponte a1 rotina
I have two brothers and one sister.	Eu tenho dois irmãos e uma irmã.<br><i>/aɪ hæv/</i>	ponte a1 apresentacao
Last weekend I went to the beach with my family.	No último fim de semana eu fui à praia com minha família.<br><i>/went/</i>	ponte a2 passado
She bought a new laptop because the old one broke.	Ela comprou um notebook novo porque o antigo quebrou.<br><i>/bɔːt/</i>	ponte a2 passado
We didn't see him at the party.	Nós não o vimos na festa.<br><i>/ˈdɪdənt siː/</i>	ponte a2 passado
I'm going to call her tomorrow morning.	Eu vou ligar para ela amanhã de manhã.<br><i>/ˈɡəʊɪŋ tə/</i>	ponte a2 rotina
I think this is a better idea than the other one.	Eu acho que essa é uma ideia melhor que a outra.<br><i>/ˈbetər ðən/</i>	ponte a2 opiniao
Would you mind closing the window?	Você se importaria de fechar a janela?<br><i>/wʊd juː maɪnd/</i>	ponte a2 pedido
I've lived here for five years.	Eu moro aqui há cinco anos.<br><i>/aɪv lɪvd/</i>	ponte a2 rotina
How long have you been studying English?	Há quanto tempo você estuda inglês?<br><i>/haʊ lɒŋ/</i>	ponte a2 rotina
The flight was delayed by two hours.	O voo atrasou duas horas.<br><i>/dɪˈleɪd/</i>	ponte a2 viagem
It's not as expensive as I expected.	Não é tão caro quanto eu esperava.<br><i>/əz ɪkˈspensɪv əz/</i>	ponte a2 opiniao
Sorry, could you say that again? I didn't catch the last part.	Desculpe, você pode repetir? Não peguei a última parte.<br><i>/kætʃ/</i>	ponte b1 reuniao
Can I jump in here for a second?	Posso entrar aqui um segundo?<br><i>/dʒʌmp ɪn/</i>	ponte b1 reuniao
Let me check and get back to you today.	Deixa eu verificar e te retorno hoje.<br><i>/ɡet bæk tə juː/</i>	ponte b1 reuniao
Just to make sure we're on the same page.	Só para garantir que estamos alinhados.<br><i>/ɒn ðə seɪm peɪdʒ/</i>	ponte b1 reuniao
I'm writing about the report we discussed last week.	Estou escrevendo sobre o relatório que discutimos na semana passada.<br><i>/ˈraɪtɪŋ əˈbaʊt/</i>	ponte b1 email
Could you let me know by Friday?	Você poderia me avisar até sexta?<br><i>/let miː nəʊ/</i>	ponte b1 email
Apologies for the short notice.	Desculpe pelo pouco tempo de aviso.<br><i>/əˈpɒlədʒiz/</i>	ponte b1 email
The app crashes every time I try to upload a large file.	O aplicativo trava toda vez que eu tento subir um arquivo grande.<br><i>/ˈkræʃɪz/</i>	ponte b1 tecnologia
I've tried restarting it, but the problem is still there.	Eu tentei reiniciar, mas o problema continua.<br><i>/aɪv traɪd/</i>	ponte b1 tecnologia
It seems to be related to the file size.	Parece estar relacionado ao tamanho do arquivo.<br><i>/rɪˈleɪtɪd tuː/</i>	ponte b1 tecnologia
I see where you're coming from, but I'm not sure I agree.	Entendo o seu ponto, mas não sei se concordo.<br><i>/kʌmɪŋ frəm/</i>	ponte b1 opiniao
What if we tried a different approach?	E se a gente tentasse uma abordagem diferente?<br><i>/wɒt ɪf wiː traɪd/</i>	ponte b1 opiniao
By the time we arrived, the meeting had already started.	Quando chegamos, a reunião já tinha começado.<br><i>/həd ɔːlˈredi/</i>	ponte b1 passado
Although it was raining, we decided to go out.	Embora estivesse chovendo, decidimos sair.<br><i>/ɔːlˈðəʊ/</i>	ponte b1 conectivos
He was tired; nevertheless, he finished the work.	Ele estava cansado; ainda assim, terminou o trabalho.<br><i>/ˌnevəðəˈles/</i>	ponte b1 conectivos
Something came up and I need to reschedule.	Surgiu um imprevisto e preciso remarcar.<br><i>/keɪm ʌp/</i>	ponte b1 viagem
Off the top of my head, I'd say around thirty percent.	Assim de cabeça, eu diria uns trinta por cento.<br><i>/ɒf ðə tɒp/</i>	ponte b2 reuniao
I don't have that number in front of me right now.	Não tenho esse número aqui comigo agora.<br><i>/ɪn frʌnt əv miː/</i>	ponte b2 reuniao
My recommendation is to go with the first option.	Minha recomendação é seguir com a primeira opção.<br><i>/ˌrekəmenˈdeɪʃən/</i>	ponte b2 email
Happy to jump on a quick call if that's easier.	Fico à disposição para uma call rápida, se for mais fácil.<br><i>/hæpi tə/</i>	ponte b2 email
My only concern is that we'd lose three weeks.	Minha única preocupação é que perderíamos três semanas.<br><i>/kənˈsɜːn/</i>	ponte b2 opiniao
That said, I think the trade-off is worth it.	Dito isso, acho que a troca compensa.<br><i>/ðæt sed/</i>	ponte b2 opiniao
